year,region,var1,freq,perc,use
2015,Addis Ababa,1,0.263,26.3,Any current method
2015,Afar,1,0.096,9.6,Any current method
2015,Amhara,1,0.319,31.9,Any current method
2015,Benishangul-Gumuz,1,0.217,21.7,Any current method
2015,Dire Dawa,1,0.199,19.9,Any current method
2015,Gambela,1,0.278,27.8,Any current method
2015,Harari,1,0.207,20.7,Any current method
2015,Oromia,1,0.208,20.8,Any current method
2015,SNNPR,1,0.248,24.8,Any current method
2015,Somali,1,0.016,1.6,Any current method
2015,Tigray,1,0.234,23.4,Any current method
2016,Addis Ababa,1,0.260,26.0,Any current method
2016,Afar,1,0.100,10.0,Any current method
2016,Amhara,1,0.341,34.1,Any current method
2016,Benishangul-Gumuz,1,0.220,22.0,Any current method
2016,Dire Dawa,1,0.196,19.6,Any current method
2016,Gambela,1,0.265,26.5,Any current method
2016,Harari,1,0.203,20.3,Any current method
2016,Oromia,1,0.213,21.3,Any current method
2016,SNNPR,1,0.267,26.7,Any current method
2016,Somali,1,0.011,1.1,Any current method
2016,Tigray,1,0.252,25.2,Any current method
2017,Addis Ababa,1,0.260,26.0,Any current method
2017,Afar,1,0.104,10.4,Any current method
2017,Amhara,1,0.342,34.2,Any current method
2017,Benishangul-Gumuz,1,0.238,23.8,Any current method
2017,Dire Dawa,1,0.193,19.3,Any current method
2017,Gambela,1,0.255,25.5,Any current method
2017,Harari,1,0.204,20.4,Any current method
2017,Oromia,1,0.238,23.8,Any current method
2017,SNNPR,1,0.283,28.3,Any current method
2017,Somali,1,0.017,1.7,Any current method
2017,Tigray,1,0.257,25.7,Any current method
2018,Addis Ababa,1,0.261,26.1,Any current method
2018,Afar,1,0.107,10.7,Any current method
2018,Amhara,1,0.343,34.3,Any current method
2018,Benishangul-Gumuz,1,0.255,25.5,Any current method
2018,Dire Dawa,1,0.189,18.9,Any current method
2018,Gambela,1,0.246,24.6,Any current method
2018,Harari,1,0.205,20.5,Any current method
2018,Oromia,1,0.263,26.3,Any current method
2018,SNNPR,1,0.298,29.8,Any current method
2018,Somali,1,0.022,2.2,Any current method
2018,Tigray,1,0.263,26.3,Any current method
2019,Addis Ababa,1,0.261,26.1,Any current method
2019,Afar,1,0.111,11.1,Any current method
2019,Amhara,1,0.344,34.4,Any current method
2019,Benishangul-Gumuz,1,0.273,27.3,Any current method
2019,Dire Dawa,1,0.186,18.6,Any current method
2019,Gambela,1,0.236,23.6,Any current method
2019,Harari,1,0.206,20.6,Any current method
2019,Oromia,1,0.288,28.8,Any current method
2019,SNNPR,1,0.314,31.4,Any current method
2019,Somali,1,0.028,2.8,Any current method
2019,Tigray,1,0.268,26.8,Any current method
